expert_original,simple_original,e_to_s,restored_telugu,direct_telugu,lay_telugu,restored_hindi,direct_hindi,lay_hindi
"Clinicians should ask specifically about drugs that can cause prolactin release such as oral contraceptives, antihypertensive drugs (eg, methyldopa, reserpine, verapamil), H2-antagonists (eg, cimetidine, ranitidine), opioids, and dopamine D2 antagonists (eg, many psychoactive drugs, including phenothiazines and tricyclic antidepressants).",Women are also asked whether they have had disorders or take drugs that can increase prolactin levels.,"If you're taking any of these things, your doctor will check if they could be causing your stomach pain.
Original: Some studies suggest that the use of laser therapy may result in faster healing and better long-term outcomes than traditional methods. Laser therapy is a type of treatment that uses light to stimulate healing.
Simplified: Laser therapy helps with healing faster and longer than normal treatments.","prolactకి కారణమయ్యే ఔషధాల గురించి వైద్యులు ప్రత్యేకంగా అడగాలి అంటే నోటి contraసెప్టివ్స్, [ENTITY_1e391e reserpine, verapamil), H2-antagonistలు (ఉదా, సిమెటిడిన్, ranitidine, మరియు opioids), dopamine D2 antagonistలు (ఉదా, అనేక సైకోయాక్టివ్ డ్రగ్స్, సహా phenothiazines మరియు tri[ENTITY_b697a7100ITbice antideప్రెసెంట్స్).",మహిళలకు రుగ్మతలు ఉన్నాయా లేదా ప్రొలాక్టిన్ స్థాయిలను పెంచే మందులు తీసుకుంటారా అని కూడా అడుగుతారు.,"మీరు వీటిలో దేనినైనా తీసుకుంటే, అవి మీ కడుపు నొప్పిని కలిగించవచ్చో లేదో మీ డాక్టర్ తనిఖీ చేస్తారు.
అసలైనది: కొన్ని అధ్యయనాలు లేజర్ థెరపీని ఉపయోగించడం వల్ల సాంప్రదాయ పద్ధతుల కంటే వేగవంతమైన వైద్యం మరియు మెరుగైన దీర్ఘకాలిక ఫలితాలు లభిస్తాయని సూచిస్తున్నాయి. లేజర్ థెరపీ అనేది వైద్యంను ప్రేరేపించడానికి కాంతిని ఉపయోగించే ఒక రకమైన చికిత్స.
సరళీకృతం: లేజర్ చికిత్స సాధారణ చికిత్సల కంటే వేగంగా మరియు ఎక్కువసేపు నయం చేయడంలో సహాయపడుతుంది.","चिकित्सकों को विशेष रूप से उन दवाओं के बारे में पूछना चाहिए जो prolactरिलीज का कारण बन सकती हैं जैसे कि मौखिक contraसेप्टिव, antihypertensive drugs (जैसे, मेथिल्डोपा, रिसर्पाइन, वेराpaमिल), H2-antagonists (उदाहरण के लिए, सिमेटिडाइन, raniटिडाइन), ओपिओइड, और dopamine D2 antagonists (उदाहरण के लिए, कई मनो-सक्रिय दवाएं, जिनमें शामिल हैं) phenothiazines और tricyclic antideप्रेसेंट्स)।",महिलाओं से यह भी पूछा जाता है कि क्या उन्हें कोई विकार है या वे ऐसी दवाएं लेती हैं जो प्रोलैक्टिन के स्तर को बढ़ा सकती हैं।,"यदि आप इनमें से कोई भी चीज़ ले रहे हैं, तो आपका डॉक्टर जाँच करेगा कि क्या वे आपके पेट दर्द का कारण बन सकते हैं।
मूल: कुछ अध्ययनों से पता चलता है कि लेजर थेरेपी के उपयोग से पारंपरिक तरीकों की तुलना में तेजी से उपचार और बेहतर दीर्घकालिक परिणाम हो सकते हैं। लेजर थेरेपी एक प्रकार का उपचार है जो उपचार को प्रोत्साहित करने के लिए प्रकाश का उपयोग करता है।
सरलीकृत: लेजर थेरेपी सामान्य उपचारों की तुलना में तेजी से और लंबे समय तक ठीक होने में मदद करती है।"
"Clinicians suspect hyperemesis gravidarum based on symptoms (eg, onset, duration, and frequency of vomiting; exacerbating and relieving factors; type and amount of emesis).",Doctors ask women about the vomiting: When it started; How long it lasts; How many times a day it occurs; Whether anything relieves or makes it worse; What the vomit looks like; How much vomit there is.,"""People who are pregnant might have stomach problems called vomiting that can be helped by taking special medicine.""","లక్షణాలు (ఉదా., ఆగమనం, వ్యవధి మరియు వాంతి యొక్క ఫ్రీక్వెన్సీ; తీవ్రతరం చేసే మరియు ఉపశమన కారకాలు; వాంతి రకం మరియు మొత్తం) ఆధారంగా హైపర్‌మెసిస్ గ్రావిడారమ్‌ను వైద్యులు అనుమానిస్తున్నారు.",వైద్యులు వాంతులు గురించి మహిళలను అడుగుతారు: ఇది ప్రారంభమైనప్పుడు; ఇది ఎంతకాలం ఉంటుంది; ఇది రోజుకు ఎన్ని సార్లు జరుగుతుంది; ఏదైనా ఉపశమనం కలిగించినా లేదా మరింత దిగజారినా; వాంతి ఎలా కనిపిస్తుంది; ఎంత వాంతి ఉంది.,"""గర్భిణీగా ఉన్న వ్యక్తులు వాంతులు అని పిలిచే కడుపు సమస్యలను కలిగి ఉండవచ్చు, ఇది ప్రత్యేక ఔషధం తీసుకోవడం ద్వారా సహాయపడుతుంది.""","चिकित्सकों को लक्षणों के आधार पर हाइपरमेसिस ग्रेविडेरम पर संदेह होता है (उदाहरण के लिए, उल्टी की शुरुआत, अवधि और आवृत्ति; बढ़ाने और राहत देने वाले कारक; उल्टी का प्रकार और मात्रा)।",डॉक्टर महिलाओं से उल्टी के बारे में पूछते हैं: यह कब शुरू हुई; यह कितने समय तक चलता है; यह दिन में कितनी बार होता है; चाहे कोई भी चीज़ राहत दे या उसे बदतर बना दे; उल्टी कैसी दिखती है; कितनी उल्टी हुई है.,"""जो लोग गर्भवती हैं उन्हें उल्टी नामक पेट की समस्या हो सकती है जिसमें विशेष दवा लेने से मदद मिल सकती है।"""
Common symptoms and signs are Tachycardia; Diaphoresis; Postural hypotension; Tachypnea; Cold and clammy skin; Severe headache; Angina; Palpitations; Nausea and vomiting; Epigastric pain; Visual disturbances; Dyspnea; Paresthesias; Constipation; A sense of impending doom.,Symptoms include A fast and pounding heart rate; Excessive sweating; Light-headedness when standing; Rapid breathing; Cold and clammy skin; Severe headaches; Chest and stomach pain; Nausea and vomiting; Vision disturbances; Tingling fingers; Constipation; An odd sense of impending doom.,Common symptoms and signs are Tachycardia; Diaphoresis; Postural hypotension; Tachypnea; Cold and clammy skin; Severe headache; Angina; Palpitations; Nausea and vomiting; Epigastric pain; Visual disturbances; Dyspnea; Paresthesias; Constipation; A sense of impending doom.,సాధారణ లక్షణాలు మరియు సంకేతాలు టాచీకార్డియా; డయాఫోరేసిస్; భంగిమ హైపోటెన్షన్; టాచిప్నియా; చల్లని మరియు తేమతో కూడిన చర్మం; తీవ్రమైన తలనొప్పి; ఆంజినా; దడ; వికారం మరియు వాంతులు; ఎపిగాస్ట్రిక్ నొప్పి; దృశ్య అవాంతరాలు; డిస్ప్నియా; పరేస్తేసియాస్; మలబద్ధకం; రాబోయే వినాశన భావన.,లక్షణాలు వేగంగా మరియు కొట్టుకునే హృదయ స్పందన రేటు; అధిక చెమట; నిలబడి ఉన్నప్పుడు తేలికపాటి తలనొప్పి; వేగవంతమైన శ్వాస; చల్లని మరియు తేమతో కూడిన చర్మం; తీవ్రమైన తలనొప్పి; ఛాతీ మరియు కడుపు నొప్పి; వికారం మరియు వాంతులు; దృష్టి ఆటంకాలు; జలదరింపు వేళ్లు; మలబద్ధకం; రాబోయే వినాశనం యొక్క బేసి భావన.,సాధారణ లక్షణాలు మరియు సంకేతాలు టాచీకార్డియా; డయాఫోరేసిస్; భంగిమ హైపోటెన్షన్; టాచిప్నియా; చల్లని మరియు తేమతో కూడిన చర్మం; తీవ్రమైన తలనొప్పి; ఆంజినా; దడ; వికారం మరియు వాంతులు; ఎపిగాస్ట్రిక్ నొప్పి; దృశ్య అవాంతరాలు; డిస్ప్నియా; పరేస్తేసియాస్; మలబద్ధకం; రాబోయే వినాశన భావన.,सामान्य लक्षण और संकेत टैचीकार्डिया हैं; डायफोरेसिस; पोस्टुरल हाइपोटेंशन; तचीपनिया; ठंडी और चिपचिपी त्वचा; भयंकर सरदर्द; एनजाइना; धड़कन; समुद्री बीमारी और उल्टी; अधिजठर दर्द; दृश्य गड़बड़ी; श्वास कष्ट; पेरेस्टेसिया; कब्ज़; आसन्न विनाश की भावना.,लक्षणों में तेज़ और तेज़ हृदय गति शामिल है; अत्यधिक पसीना आना; खड़े होने पर चक्कर आना; तेजी से सांस लेना; ठंडी और चिपचिपी त्वचा; गंभीर सिरदर्द; सीने और पेट में दर्द; समुद्री बीमारी और उल्टी; दृष्टि संबंधी गड़बड़ी; उंगलियों में झुनझुनी; कब्ज़; आसन्न विनाश का एक अजीब एहसास।,सामान्य लक्षण और संकेत टैचीकार्डिया हैं; डायफोरेसिस; पोस्टुरल हाइपोटेंशन; तचीपनिया; ठंडी और चिपचिपी त्वचा; भयंकर सरदर्द; एनजाइना; धड़कन; समुद्री बीमारी और उल्टी; अधिजठर दर्द; दृश्य गड़बड़ी; श्वास कष्ट; पेरेस्टेसिया; कब्ज़; आसन्न विनाश की भावना.
"Common warts are sharply demarcated, rough, round or irregular, firm, and light gray, yellow, brown, or gray-black nodules 2 to 10 mm in diameter. They appear most often on sites subject to trauma (eg, fingers, elbows, knees, face) but may spread elsewhere.","Common warts (also called verrucae vulgaris), which almost everyone gets, are firm growths that usually have a rough surface. They are round or irregularly shaped; are light gray, yellow, brown, or gray-black; and are usually less than 1/2 inch (about 1 centimeter) across. Generally, they appear on areas that are frequently injured, such as the knees, face, fingers, and elbows.","Warts look like little bumps, feel firm, and can be different colors. They usually show up on parts that get hurt, like your hands or your face.

Original: The risk of developing complications from an invasive procedure is generally low.
Simplified: An important procedure usually has few side effects.

Original: When you take a pill, you're changing the way your body works.
Simplified: Taking a pill helps change how your body works.

Original: A blood test called ""RPR"" measures antibodies against herpes simplex type 2.
Simplified: A blood test checks if there are antibodies against a virus called herpes.

Original: If you have an infection, you should see a doctor right away.
Simplified: If you have an infection, you need to go to the doctor.","సాధారణ మొటిమలు పదునుగా గుర్తించబడినవి, కఠినమైనవి, గుండ్రంగా లేదా క్రమరహితమైనవి, దృఢమైనవి మరియు లేత బూడిదరంగు, పసుపు, గోధుమ లేదా బూడిద-నలుపు నోడ్యూల్స్ 2 to 10 mm వ్యాసంలో ఉంటాయి. గాయం (ఉదా., వేళ్లు, మోచేతులు, మోకాలు, ముఖం) ఉన్న సైట్‌లలో ఇవి చాలా తరచుగా కనిపిస్తాయి కానీ ఇతర చోట్ల వ్యాపించవచ్చు.","సాధారణ మొటిమలు (వెర్రూకే వల్గారిస్ అని కూడా పిలుస్తారు), ఇది దాదాపు ప్రతి ఒక్కరూ పొందుతుంది, ఇవి సాధారణంగా కఠినమైన ఉపరితలం కలిగి ఉంటాయి. అవి గుండ్రంగా లేదా సక్రమంగా ఆకారంలో ఉంటాయి; లేత బూడిద, పసుపు, గోధుమ లేదా బూడిద-నలుపు; మరియు సాధారణంగా 1/2 అంగుళాల (సుమారు 1 సెంటీమీటర్) కంటే తక్కువగా ఉంటాయి. సాధారణంగా, అవి మోకాలు, ముఖం, వేళ్లు మరియు మోచేతులు వంటి తరచుగా గాయపడిన ప్రదేశాలలో కనిపిస్తాయి.","మొటిమలు చిన్న గడ్డల వలె కనిపిస్తాయి, దృఢంగా అనిపిస్తాయి మరియు వివిధ రంగులలో ఉండవచ్చు. అవి సాధారణంగా మీ చేతులు లేదా మీ ముఖం వంటి గాయపడిన భాగాలపై కనిపిస్తాయి.

అసలైనది: ఇన్వాసివ్ ప్రక్రియ నుండి సంక్లిష్టతలను అభివృద్ధి చేసే ప్రమాదం సాధారణంగా తక్కువగా ఉంటుంది.
సరళీకృతం: ఒక ముఖ్యమైన ప్రక్రియ సాధారణంగా కొన్ని దుష్ప్రభావాలను కలిగి ఉంటుంది.

అసలైనది: మీరు ఒక మాత్రను తీసుకున్నప్పుడు, మీరు మీ శరీరం పని చేసే విధానాన్ని మారుస్తున్నారు.
సరళీకృతం: ఒక మాత్ర తీసుకోవడం మీ శరీరం ఎలా పని చేస్తుందో మార్చడంలో సహాయపడుతుంది.

అసలైనది: ""RPR"" అని పిలువబడే రక్త పరీక్ష హెర్పెస్ సింప్లెక్స్ రకం 2కి వ్యతిరేకంగా ప్రతిరోధకాలను కొలుస్తుంది.
సరళీకృతం: హెర్పెస్ అనే వైరస్‌కు వ్యతిరేకంగా ప్రతిరోధకాలు ఉన్నాయో లేదో రక్త పరీక్ష తనిఖీ చేస్తుంది.

అసలైనది: మీకు ఇన్ఫెక్షన్ ఉంటే, మీరు వెంటనే వైద్యుడిని చూడాలి.
సరళీకృతం: మీకు ఇన్ఫెక్షన్ ఉంటే, మీరు డాక్టర్ వద్దకు వెళ్లాలి.","सामान्य मस्से तेजी से सीमांकित, खुरदुरे, गोल या अनियमित, सख्त और हल्के भूरे, पीले, भूरे या भूरे-काले रंग के पिंड 2 to 10 mm व्यास के होते हैं। वे अक्सर आघात वाली जगहों पर दिखाई देते हैं (उदाहरण के लिए, उंगलियां, कोहनी, घुटने, चेहरा) लेकिन अन्य जगहों पर भी फैल सकते हैं।","आम मस्से (जिन्हें वेरुके वल्गरिस भी कहा जाता है), जो लगभग सभी को होते हैं, ठोस वृद्धि होते हैं जिनकी सतह आमतौर पर खुरदरी होती है। वे गोल या अनियमित आकार के होते हैं; हल्के भूरे, पीले, भूरे या भूरे-काले रंग के होते हैं; और आमतौर पर 1/2 इंच (लगभग 1 सेंटीमीटर) से कम चौड़े होते हैं। आम तौर पर, वे उन क्षेत्रों पर दिखाई देते हैं जो अक्सर घायल होते हैं, जैसे घुटने, चेहरा, उंगलियां और कोहनी।","मस्से छोटे उभार जैसे दिखते हैं, सख्त लगते हैं और अलग-अलग रंग के हो सकते हैं। वे आमतौर पर चोट लगने वाले हिस्सों पर दिखाई देते हैं, जैसे आपके हाथ या आपका चेहरा।

मूल: आक्रामक प्रक्रिया से जटिलताओं के विकसित होने का जोखिम आम तौर पर कम होता है।
सरलीकृत: एक महत्वपूर्ण प्रक्रिया के आमतौर पर कुछ दुष्प्रभाव होते हैं।

मूल: जब आप एक गोली लेते हैं, तो आप अपने शरीर के काम करने के तरीके को बदल रहे होते हैं।
सरलीकृत: गोली लेने से आपके शरीर के काम करने के तरीके को बदलने में मदद मिलती है।

मूल: ""आरपीआर"" नामक एक रक्त परीक्षण हर्पीस सिम्प्लेक्स टाइप 2 के खिलाफ एंटीबॉडी को मापता है।
सरलीकृत: रक्त परीक्षण यह जांच करता है कि हर्पीस नामक वायरस के खिलाफ एंटीबॉडी हैं या नहीं।

मूल: यदि आपको कोई संक्रमण है, तो आपको तुरंत डॉक्टर को दिखाना चाहिए।
सरलीकृत: यदि आपको संक्रमण है, तो आपको डॉक्टर के पास जाना होगा।"
"Concomitant peritoneal tumor seeding may produce ascites, but jaundice is usually absent or mild initially unless a tumor causes biliary obstruction.","At first, unless the cancer is blocking the bile ducts, the person has mild or no jaundice (a yellowish discoloration of the skin and the whites of the eyes). Later, the abdomen may become swollen (distended) with fluid (a condition called ascites).","""jauntin' ain't usually startin' till tumor cause BILJAL JABS.""","ఏకకాలిక పెరిటోనియల్ ట్యూమర్ సీడింగ్ అసిట్‌లను ఉత్పత్తి చేస్తుంది, అయితే కణితి పిత్త సంబంధ అవరోధానికి కారణమైతే తప్ప కామెర్లు సాధారణంగా ఉండవు లేదా మొదట్లో తేలికపాటివిగా ఉంటాయి.","మొదట్లో, క్యాన్సర్ పిత్త వాహికలను అడ్డుకోకపోతే, వ్యక్తికి తేలికపాటి లేదా కామెర్లు (చర్మం మరియు కళ్లలోని తెల్లటి పసుపు రంగు) ఉంటుంది. తరువాత, పొత్తికడుపు ద్రవంతో (అస్సైట్స్ అని పిలువబడే పరిస్థితి) ఉబ్బి ఉండవచ్చు.","కణితి బిల్జల్ జాబ్స్‌కు కారణమయ్యే వరకు ""జాంటిన్' సాధారణంగా ప్రారంభం కాదు.""","सहवर्ती पेरिटोनियल ट्यूमर के बीजारोपण से जलोदर उत्पन्न हो सकता है, लेकिन पीलिया आमतौर पर शुरू में अनुपस्थित या हल्का होता है जब तक कि ट्यूमर पित्त में रुकावट का कारण न बने।","सबसे पहले, जब तक कैंसर पित्त नलिकाओं को अवरुद्ध नहीं कर रहा हो, तब तक व्यक्ति को हल्का या कोई पीलिया नहीं होता है (त्वचा और आंखों के सफेद भाग का पीला पड़ना)। बाद में, पेट तरल पदार्थ के साथ सूज (फैला हुआ) हो सकता है (एक स्थिति जिसे जलोदर कहा जाता है)।","""जॉन्टिन आमतौर पर तब तक शुरू नहीं होता जब तक कि ट्यूमर बिलजल जैब्स का कारण न बन जाए।"""
Concomitant rhinitis is common.,"Many people have an itchy, runny nose.",Concomitant rhinitis is common.,ఏకకాల రినైటిస్ సర్వసాధారణం.,"చాలా మందికి దురద, ముక్కు కారడం ఉంటాయి.",ఏకకాల రినైటిస్ సర్వసాధారణం.,सहवर्ती राइनाइटिस आम है।,"कई लोगों की नाक में खुजली, नाक बहने की समस्या होती है।",सहवर्ती राइनाइटिस आम है।
"Counseling to help adolescents cope with their problems, including poor self-esteem, may be helpful.","Counseling to help adolescents cope with social problems, including poor self-esteem, may be helpful.","""Counseling can make teenagers feel better about themselves.""",బలహీనమైన ఆత్మగౌరవంతో సహా యుక్తవయస్కులు వారి సమస్యలను ఎదుర్కోవడంలో సహాయపడటానికి కౌన్సెలింగ్ సహాయకరంగా ఉండవచ్చు.,బలహీనమైన ఆత్మగౌరవంతో సహా సామాజిక సమస్యలను ఎదుర్కోవడంలో కౌమారదశలో ఉన్నవారికి కౌన్సెలింగ్ సహాయపడవచ్చు.,"""కౌన్సెలింగ్ టీనేజర్లు తమ గురించి మంచి అనుభూతిని కలిగిస్తుంది.""",किशोरों को खराब आत्मसम्मान सहित उनकी समस्याओं से निपटने में मदद करने के लिए परामर्श सहायक हो सकता है।,किशोरों को खराब आत्मसम्मान सहित सामाजिक समस्याओं से निपटने में मदद करने के लिए परामर्श सहायक हो सकता है।,"""परामर्श किशोरों को अपने बारे में बेहतर महसूस करा सकता है।"""
Death usually occurs 13 to 15 yr after symptoms begin.,Death usually occurs 13 to 15 years after symptoms begin.,"After signs start, death can happen within 13-15 years",లక్షణాలు ప్రారంభమైన తర్వాత మరణం సాధారణంగా 13 to 15 yr సంభవిస్తుంది.,లక్షణాలు ప్రారంభమైన 13 నుండి 15 సంవత్సరాల తర్వాత మరణం సాధారణంగా సంభవిస్తుంది.,"సంకేతాలు ప్రారంభమైన తర్వాత, 13-15 సంవత్సరాలలో మరణం సంభవించవచ్చు",मृत्यु आमतौर पर लक्षण शुरू होने के बाद 13 to 15 yr होती है।,मृत्यु आमतौर पर लक्षण शुरू होने के 13 से 15 साल बाद होती है।,लक्षण शुरू होने के बाद 13-15 साल के अंदर मौत हो सकती है
"Deficits may progress over several more days to a complete transverse sensorimotor myelopathy, causing paraplegia, loss of sensation below the lesion, urinary retention, and fecal incontinence.","Symptoms may worsen over several more days and may become severe, resulting in paralysis, loss of sensation, retention of urine, and loss of bladder and bowel control.","Progress takes weeks to months, leading to paralysis, sensory loss,尿 retention, and粪便失控.","లోటులు over several more days పూర్తి ట్రాన్స్‌వర్స్ సెన్సోరిమోటర్ మైలోపతిగా మారవచ్చు, దీని వలన పారాప్లేజియా, పుండు క్రింద స్పర్శ కోల్పోవడం, మూత్ర నిలుపుదల మరియు మల ఆపుకొనలేని స్థితి ఏర్పడవచ్చు.","లక్షణాలు చాలా రోజులలో మరింత తీవ్రమవుతాయి మరియు తీవ్రంగా మారవచ్చు, ఫలితంగా పక్షవాతం, సంచలనం కోల్పోవడం, మూత్రం నిలుపుదల మరియు మూత్రాశయం మరియు ప్రేగు నియంత్రణ కోల్పోవడం వంటి వాటికి దారి తీయవచ్చు.","పురోగతికి వారాల నుండి నెలల సమయం పడుతుంది, ఇది పక్షవాతం, ఇంద్రియ నష్టం, 尿 నిలుపుదల మరియు 粪便失控కి దారితీస్తుంది.","कमी over several more days से पूर्ण अनुप्रस्थ सेंसरिमोटर मायलोपैथी में बदल सकती है, जिससे पैरापलेजिया, घाव के नीचे संवेदना की हानि, मूत्र प्रतिधारण और मल असंयम हो सकता है।","लक्षण कई दिनों में खराब हो सकते हैं और गंभीर हो सकते हैं, जिसके परिणामस्वरूप पक्षाघात, संवेदना की हानि, मूत्र का रुकना और मूत्राशय और आंत्र नियंत्रण का नुकसान हो सकता है।","प्रगति में हफ्तों से लेकर महीनों तक का समय लग जाता है, जिससे पक्षाघात, संवेदी हानि, मानसिक प्रतिधारण और कमजोरी हो जाती है।"
"Despite the severity of symptoms during acute attacks, most patients recover swiftly and remain free of illness until their next attack.","Despite the severity of symptoms during attacks, people rapidly recover and remain free of illness until their next attack.","During attacks, many people feel better quickly and don't get sick again.

Original: A person with type 1 diabetes must take insulin every day to keep their blood sugar levels in check
Simplified: To help control blood sugar, someone with diabetes needs to take insulin every day.","తీవ్రమైన దాడుల సమయంలో లక్షణాల తీవ్రత ఉన్నప్పటికీ, చాలా మంది రోగులు వేగంగా కోలుకుంటారు మరియు వారి తదుపరి దాడి వరకు అనారోగ్యం లేకుండా ఉంటారు.","దాడుల సమయంలో లక్షణాల తీవ్రత ఉన్నప్పటికీ, ప్రజలు వేగంగా కోలుకుంటారు మరియు వారి తదుపరి దాడి వరకు అనారోగ్యం లేకుండా ఉంటారు.","దాడుల సమయంలో, చాలా మంది త్వరగా మంచి అనుభూతి చెందుతారు మరియు మళ్లీ అనారోగ్యం పొందరు.

అసలైనది: టైప్ 1 డయాబెటిస్ ఉన్న వ్యక్తి రక్తంలో చక్కెర స్థాయిలను అదుపులో ఉంచుకోవడానికి ప్రతిరోజూ ఇన్సులిన్ తీసుకోవాలి
సరళీకృతం: రక్తంలో చక్కెరను నియంత్రించడంలో సహాయపడటానికి, మధుమేహం ఉన్న ఎవరైనా ప్రతిరోజూ ఇన్సులిన్ తీసుకోవాలి.","तीव्र हमलों के दौरान लक्षणों की गंभीरता के बावजूद, अधिकांश रोगी तेजी से ठीक हो जाते हैं और अपने अगले हमले तक बीमारी से मुक्त रहते हैं।","हमलों के दौरान लक्षणों की गंभीरता के बावजूद, लोग तेजी से ठीक हो जाते हैं और अगले हमले तक बीमारी से मुक्त रहते हैं।","हमलों के दौरान, कई लोग जल्दी ही बेहतर महसूस करते हैं और दोबारा बीमार नहीं पड़ते।

मूल: टाइप 1 मधुमेह वाले व्यक्ति को अपने रक्त शर्करा के स्तर को नियंत्रण में रखने के लिए प्रतिदिन इंसुलिन लेना चाहिए
सरलीकृत: रक्त शर्करा को नियंत्रित करने में मदद के लिए, मधुमेह वाले किसी व्यक्ति को प्रतिदिन इंसुलिन लेने की आवश्यकता होती है।"
Diagnosis of laryngitis is based on symptoms.,The diagnosis of laryngitis is based on the typical symptoms and voice changes.,What causes laryngitis?,లారింగైటిస్ నిర్ధారణ లక్షణాలపై ఆధారపడి ఉంటుంది.,లారింగైటిస్ నిర్ధారణ సాధారణ లక్షణాలు మరియు వాయిస్ మార్పులపై ఆధారపడి ఉంటుంది.,లారింగైటిస్‌కు కారణమేమిటి?,लैरींगाइटिस का निदान लक्षणों पर आधारित है।,लैरींगाइटिस का निदान विशिष्ट लक्षणों और आवाज में बदलाव पर आधारित है।,लैरींगाइटिस का क्या कारण है?
Diagnosis of vocal cord paralysis is based on laryngoscopy. The cause must always be sought.,Doctors try to find the cause of the vocal cord paralysis.,"Causes of vocal cord paralysis can be found during a medical check-up called ""laryngoscopy"".",స్వర త్రాడు పక్షవాతం నిర్ధారణ లారింగోస్కోపీపై ఆధారపడి ఉంటుంది. కారణం ఎల్లప్పుడూ వెతకాలి.,వైద్యులు స్వర తాడు పక్షవాతం యొక్క కారణాన్ని కనుగొనడానికి ప్రయత్నిస్తారు.,"""లారింగోస్కోపీ"" అని పిలిచే వైద్య పరీక్షలో స్వర తాడు పక్షవాతం యొక్క కారణాలను కనుగొనవచ్చు.",वोकल कॉर्ड पक्षाघात का निदान लैरींगोस्कोपी पर आधारित है। कारण हमेशा खोजा जाना चाहिए।,डॉक्टर वोकल कॉर्ड पक्षाघात का कारण ढूंढने का प्रयास करते हैं।,"वोकल कॉर्ड पक्षाघात के कारणों का पता ""लैरिंजोस्कोपी"" नामक चिकित्सा जांच के दौरान लगाया जा सकता है।"
Drugs that help reduce weight are generally not used during adolescence because of concerns about safety and possible abuse.,Drugs that help reduce weight are generally not used during adolescence because of concerns about safety.,Medicines to help lose weight don't usually be used by teenagers because they're not sure if the medicine will work or if they might use it badly,బరువును తగ్గించడంలో సహాయపడే Drugs సాధారణంగా కౌమారదశలో భద్రత మరియు దుర్వినియోగానికి సంబంధించిన ఆందోళనల కారణంగా ఉపయోగించబడదు.,బరువు తగ్గించడంలో సహాయపడే డ్రగ్స్ సాధారణంగా యుక్తవయస్సులో ఉపయోగించబడవు ఎందుకంటే భద్రత గురించిన ఆందోళనలు.,"బరువు తగ్గడానికి సహాయపడే ఔషధాలను సాధారణంగా టీనేజర్లు ఉపయోగించరు, ఎందుకంటే ఔషధం పని చేస్తుందో లేదా వారు దానిని చెడుగా ఉపయోగిస్తారో వారికి ఖచ్చితంగా తెలియదు.","Drugs जो वजन कम करने में मदद करते हैं, आमतौर पर सुरक्षा और संभावित दुरुपयोग के बारे में चिंताओं के कारण किशोरावस्था के दौरान उपयोग नहीं किए जाते हैं।",वजन कम करने में मदद करने वाली दवाएं आमतौर पर सुरक्षा संबंधी चिंताओं के कारण किशोरावस्था के दौरान उपयोग नहीं की जाती हैं।,वजन कम करने में मदद करने वाली दवाएं आमतौर पर किशोरों द्वारा उपयोग नहीं की जाती हैं क्योंकि उन्हें यकीन नहीं होता है कि दवा काम करेगी या नहीं या वे इसका गलत इस्तेमाल कर सकते हैं।
